root,source_region,receiver_region,source_n,receiver_n,source_country_count,receiver_country_count,source_branch_count,receiver_branch_count,deepest_A_s,deepest_D,deepest_call,source_receiver_reliability_score,display_class
A1b,balkan,north_africa,2164,1158,10,7,1433,815,1.8687392055267704,-1.1622580037734251,True,1.0,broad-root deferred
A1b,balkan,north_america,2164,2846,10,4,1433,2219,0.7603654251581167,1.0330040677980785,False,1.0,broad-root deferred
A1b,balkan,north_europe,2164,3637,10,7,1433,2326,0.5949958757217487,1.1696332189366772,False,1.0,broad-root deferred
A1b,balkan,northeast_africa,2164,343,10,6,1433,230,6.309037900874635,-4.118653754952659,True,1.0,broad-root deferred
A1b,balkan,pacific_oceania,2164,131,10,6,1433,122,16.519083969465647,-5.177295428372967,True,1.0,broad-root deferred
A1b,balkan,south_america,2164,193,10,8,1433,171,11.212435233160624,-4.593638235423389,True,1.0,broad-root deferred
A1b,balkan,south_asia,2164,816,10,5,1433,593,2.6519607843137254,-1.8383492492362343,True,1.0,broad-root deferred
A1b,balkan,southeast_asia,2164,301,10,9,1433,245,7.189368770764119,-3.7812029257563666,True,1.0,broad-root deferred
A1b,balkan,southern_africa,2164,39,10,6,1433,36,55.48717948717949,-8.000236057494257,True,1.0,broad-root deferred
A1b,balkan,west_africa,2164,351,10,13,1433,234,6.165242165242165,-4.411369728258422,True,1.0,broad-root deferred
A1b,balkan,west_asia,2164,15790,10,19,1433,9377,0.1370487650411652,4.3356522822576435,False,1.0,broad-root deferred
A1b,balkan,west_europe,2164,9034,10,21,1433,6332,0.2395395173787912,3.243882378199659,False,1.0,broad-root deferred
A1b,caribbean,americas_indigenous_relevant,221,345,14,11,193,287,0.6405797101449275,0.6561243846535962,False,1.0,broad-root deferred
A1b,caribbean,balkan,221,2164,14,10,193,1433,0.1021256931608133,4.22973010025399,False,1.0,broad-root deferred
A1b,caribbean,central_africa,221,91,14,5,193,67,2.4285714285714284,-2.530762873410891,True,1.0,broad-root deferred
A1b,caribbean,central_asia,221,357,14,6,193,258,0.6190476190476191,0.21807963925038615,False,1.0,broad-root deferred
A1b,caribbean,east_africa,221,76,14,3,193,48,2.9078947368421053,-3.7036893364073777,True,1.0,broad-root deferred
A1b,caribbean,east_asia,221,2247,14,7,193,1580,0.098353360035603,4.445834863543141,False,1.0,broad-root deferred
A1b,caribbean,east_europe,221,3648,14,10,193,2623,0.0605811403508771,5.676126690683836,False,1.0,broad-root deferred
A1b,caribbean,north_africa,221,1158,14,7,193,815,0.1908462867012089,3.067472096480564,False,1.0,broad-root deferred
A1b,caribbean,north_america,221,2846,14,4,193,2219,0.0776528460997891,5.262734168052067,False,1.0,broad-root deferred
A1b,caribbean,north_europe,221,3637,14,7,193,2326,0.0607643662359087,5.399363319190665,False,1.0,broad-root deferred
A1b,caribbean,northeast_africa,221,343,14,6,193,230,0.6443148688046647,0.11107634530132929,False,1.0,broad-root deferred
A1b,caribbean,pacific_oceania,221,131,14,6,193,122,1.6870229007633588,-0.9475653281189776,True,1.0,broad-root deferred
A1b,caribbean,south_america,221,193,14,8,193,171,1.145077720207254,-0.3639081351693991,True,1.0,broad-root deferred
A1b,caribbean,south_asia,221,816,14,5,193,593,0.2708333333333333,2.391380851017755,False,1.0,broad-root deferred
A1b,caribbean,southeast_asia,221,301,14,9,193,245,0.7342192691029901,0.4485271744976221,False,1.0,broad-root deferred
A1b,caribbean,southern_africa,221,39,14,6,193,36,5.666666666666667,-3.7705059572402675,True,1.0,broad-root deferred
A1b,caribbean,west_africa,221,351,14,13,193,234,0.6296296296296297,-0.1816396280044325,False,1.0,broad-root deferred
A1b,caribbean,west_asia,221,15790,14,19,193,9377,0.0139962001266624,8.565382382511633,False,1.0,broad-root deferred
A1b,caribbean,west_europe,221,9034,14,21,193,6332,0.0244631392517157,7.473612478453647,False,1.0,broad-root deferred
A1b,central_africa,americas_indigenous_relevant,91,345,5,11,67,287,0.263768115942029,3.186887258064487,False,1.0,broad-root deferred
A1b,central_africa,balkan,91,2164,5,10,67,1433,0.0420517560073937,6.76049297366488,False,1.0,broad-root deferred
A1b,central_africa,caribbean,91,221,5,14,67,193,0.4117647058823529,2.530762873410891,False,1.0,broad-root deferred
A1b,central_africa,central_asia,91,357,5,6,67,258,0.2549019607843137,2.748842512661277,False,1.0,broad-root deferred
A1b,central_africa,east_africa,91,76,5,3,67,48,1.1973684210526316,-1.1729264629964875,True,1.0,broad-root deferred
A1b,central_africa,east_asia,91,2247,5,7,67,1580,0.0404984423676012,6.97659773695403,False,1.0,broad-root deferred
